cell,year,carrier,duration_class,power_gw,energy_gwh,units
sweep_c550_d087,2030,Battery,3_4to8h,1.7325976603135747,8.123190641254297,12.0
sweep_c550_d087,2030,Battery,4_8h,3.1364518104390857,25.091614483512686,18.0
sweep_c550_d087,2030,Battery,6_over24h,0.061200000000000004,2.7,1.0
sweep_c550_d087,2030,Water,2_2to4h,0.25,0.9,1.0
sweep_c550_d087,2030,Water,3_4to8h,0.247,1.482,1.0
sweep_c550_d087,2030,Water,5_over8to24h,3.378,62.802,3.0
sweep_c550_d087,2030,Water,6_over24h,2.2,349.8,1.0
sweep_c550_d087,2040,Battery,1_under_2h,5.004486734069803,7.474266734069802,29.0
sweep_c550_d087,2040,Battery,2_2to4h,6.890994793989052,17.690289587978107,36.0
sweep_c550_d087,2040,Battery,3_4to8h,1.745515209810182,8.174860839240727,15.0
sweep_c550_d087,2040,Battery,4_8h,10.54689212736293,84.37513701890344,33.0
sweep_c550_d087,2040,Water,2_2to4h,0.25,0.9,1.0
sweep_c550_d087,2040,Water,3_4to8h,0.247,1.482,1.0
sweep_c550_d087,2040,Water,5_over8to24h,3.378,62.802,3.0
sweep_c550_d087,2040,Water,6_over24h,2.35689207977158,357.3308198290358,2.0
sweep_c550_d087,2050,Battery,1_under_2h,2.648999703961027,4.412399703961028,12.0
sweep_c550_d087,2050,Battery,2_2to4h,3.130013473822253,8.135226947644504,18.0
sweep_c550_d087,2050,Battery,3_4to8h,1.432683061048416,6.906732244193664,12.0
sweep_c550_d087,2050,Battery,4_8h,14.867079780182994,118.93663824146395,30.0
sweep_c550_d087,2050,Water,2_2to4h,0.25,0.9,1.0
sweep_c550_d087,2050,Water,3_4to8h,0.247,1.482,1.0
sweep_c550_d087,2050,Water,5_over8to24h,3.378,62.802,3.0
sweep_c550_d087,2050,Water,6_over24h,2.515443809680738,364.9413028646755,4.0
sweep_c550_d100,2030,Battery,1_under_2h,5.16563246114537,7.7265124611453695,32.0
sweep_c550_d100,2030,Battery,2_2to4h,6.995652276038221,17.899604552076443,38.0
sweep_c550_d100,2030,Battery,3_4to8h,1.731256487911066,8.117825951644264,12.0
sweep_c550_d100,2030,Battery,4_8h,5.341084207330627,42.728673658645015,19.0
sweep_c550_d100,2030,Battery,6_over24h,0.061200000000000004,2.7,1.0
sweep_c550_d100,2030,Water,2_2to4h,0.25,0.9,1.0
sweep_c550_d100,2030,Water,3_4to8h,0.247,1.482,1.0
sweep_c550_d100,2030,Water,5_over8to24h,3.378,62.802,3.0
sweep_c550_d100,2030,Water,6_over24h,2.2,349.8,1.0
sweep_c550_d100,2040,Battery,1_under_2h,5.005029944472004,7.474809944472003,29.0
sweep_c550_d100,2040,Battery,2_2to4h,6.89440481281599,17.69710962563198,37.0
sweep_c550_d100,2040,Battery,3_4to8h,1.7496896147369234,8.191558458947695,17.0
sweep_c550_d100,2040,Battery,4_8h,13.606673699392285,108.85338959513828,34.0
sweep_c550_d100,2040,Water,2_2to4h,0.25,0.9,1.0
sweep_c550_d100,2040,Water,3_4to8h,0.247,1.482,1.0
sweep_c550_d100,2040,Water,5_over8to24h,3.3808156624648604,62.858313249297204,4.0
sweep_c550_d100,2040,Water,6_over24h,2.4386247553682128,361.2539882576742,2.0
sweep_c550_d100,2050,Battery,1_under_2h,2.6492974833266336,4.4126974833266335,12.0
sweep_c550_d100,2050,Battery,2_2to4h,3.133252536777769,8.141705073555539,19.0
sweep_c550_d100,2050,Battery,3_4to8h,1.437794754000278,6.927179016001112,15.0
sweep_c550_d100,2050,Battery,4_8h,18.034862363296757,144.27889890637405,29.0
sweep_c550_d100,2050,Water,2_2to4h,0.25,0.9,1.0
sweep_c550_d100,2050,Water,3_4to8h,0.247,1.482,1.0
